setting,compound,sentence_usage,sentence_id,cluster_id,year,requested_k,effective_k,iterations,ensemble_runs
cw_knn_k5_iter20_ens9,bergwerk,"Schon 3000 v. Chr. erkämpften sie sich die Bergwerke am Sinai , und der dort sich entwickelnde Bergbau fand eine ungemeine Unterstützung in der Neigung des Arabers zur Handelsthätigkeit .",14433,7,late,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Das Forſchen der Propheten zeiget der Apoſtel des groſſen Nachdruckes wegen nicht allein mit zweyen , ſondern auch mit ſolchen Worten an , welche in ihrer Compoſition von groſſem Gewichte ſind , ἐξεζήτησαν , ἐξε- ρέυνησαν , ſie haben uͤber die Maſſen fleißig und begierig geſuchet und geforſchet , ( wie man das Gold und Silber in den Bergwercken ſuchet , ſiehe die 70. Interp. Sprichw. 2 , 4. ) um es recht zu erkennen , und die Geheimniſſe des Reichs des Meßiaͤ einzuſehen .",103670,20,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,23. Wenn nun ein verborgener Erd-Schatz an allgemeinem oͤffentlichen Ort oder in Kirchen gefunden wird / ſo gehoͤret dieſer an Geiſt- und jener zur weltlichen Obrigkeit ; Wann aber ein ſolcher durch Zauberey-Kunſt erfunden iſt / verfaͤllt er gantz zur Obrigkeit / gleichwie Bergwercke Zehenden / maſſen auch privat-Leute dergleichen Gruben beſitzen moͤgen / und ob zwar ſonſt niemand eines andern Hauß / ohne des Herrn Willen / eingehen mag / ſo wird es jedoch Metall auszugraben zugelaſſen / ſo fern nur ſolchem fremden Gebaͤu dadurch kein Schade zugefuͤget wird .,225064,151,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,Bergwerck zu bauen gehoͤret zu den Juribus Regalibus 2 . n. 1,230128,199,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Sie weine , wenn die Ausbeute der Bergwercke und die Zinſen der Capitalien geringer werden , und reiſſe ſich gar die Haare aus , wenn ſie um etliche Thaler betrogen wird :",442976,218,early,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,1807 ernannte ihn Napoleon zum Generalinspektor aller Bergwerke zwischen dem Rhein und der Weichsel .,445553,52,late,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,1815 baute er eine groſse Maschine nach seinem Prinzip auf einem Bergwerk in Cornwall .,447607,52,late,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Henschel in Kassel konstruierte 1820 ein Kettengebläse , welches seine Analogie in den alten Kettenpumpen hat , die schon zu Agricolas Zeit bei den Bergwerken angewendet wurden .",449209,21,late,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,1819 beschlossen die Gewerke der Hetton-Kohlengruben die Anlage einer 8 Meilen langen Eisenbahn mit Maschinenbetrieb von ihren Bergwerken bei Houghton-le- Spring in Durham nach dem Verladungsplatz am Flusse Wear .,450231,39,late,5,5,20,9
cw_knn_k5_iter20_ens9,bergwerk,"Er war in seiner Jugend Schweinehirt gewesen , besaſs aber mechanisches Genie , so daſs er , ohne Vorbildung und ohne Mittel , mit den mangelhaftesten Werkzeugen in den folgenden Jahren eine ganze Anzahl Dampfmaschinen für Bergwerke im Essener Bezirke baute und aufstellte .",451048,110,late,5,5,20,9
