Compound	Modifier	Head	ModCount	HeadCount	ModMean	HeadMean
bergwerk	bergwerk	bergwerk	1	1	1.0	1.0
bildhauer	bildhauer	bildhauer	1	1	1.0	1.0
brunnenwasser	brunnenwasser	brunnenwasser	1	1	1.0	1.0
eifersucht	eifersucht	eifersucht	1	1	1.0	1.0
eisenwerk	eisenwerk	eisenwerk	1	1	1.0	1.0
feldzug	feldzug	feldzug	1	1	1.0	1.0
feuerwerk	feuerwerk	feuerwerk	1	1	1.0	1.0
gesichtszug	gesichtszug	gesichtszug	1	1	1.0	1.0
grundfläche	grundfläche	grundfläche	1	1	1.0	1.0
hausstand	hausstand	hausstand	1	1	1.0	1.0
heerführer	heerführer	heerführer	1	1	1.0	1.0
kartenspiel	kartenspiel	kartenspiel	1	1	1.0	1.0
kinderspiel	kinderspiel	kinderspiel	1	1	1.0	1.0
kreuzzug	kreuzzug	kreuzzug	1	1	1.0	1.0
leinöl	leinöl	leinöl	1	1	1.0	1.0
mauerwerk	mauerwerk	mauerwerk	1	1	1.0	1.0
meerwasser	meerwasser	meerwasser	1	1	1.0	1.0
murmeltier	murmeltier	murmeltier	1	1	1.0	1.0
rechtsstreit	rechtsstreit	rechtsstreit	1	1	1.0	1.0
rehbock	rehbock	rehbock	1	1	1.0	1.0
ruhestand	ruhestand	ruhestand	1	1	1.0	1.0
salzwasser	salzwasser	salzwasser	1	1	1.0	1.0
schauspiel	schauspiel	schauspiel	1	1	1.0	1.0
seewasser	seewasser	seewasser	1	1	1.0	1.0
sonnenblume	sonnenblume	sonnenblume	1	1	1.0	1.0
sonnenlicht	sonnenlicht	sonnenlicht	1	1	1.0	1.0
sonnenschein	sonnenschein	sonnenschein	1	1	1.0	1.0
sonnenstrahl	sonnenstrahl	sonnenstrahl	1	1	1.0	1.0
sonnenuhr	sonnenuhr	sonnenuhr	1	1	1.0	1.0
stockwerk	stockwerk	stockwerk	1	1	1.0	1.0
streitsache	streitsache	streitsache	1	1	1.0	1.0
stückwerk	stückwerk	stückwerk	1	1	1.0	1.0
sündenfall	sündenfall	sündenfall	1	1	1.0	1.0
tagewerk	tagewerk	tagewerk	1	1	1.0	1.0
trauerspiel	trauerspiel	trauerspiel	1	1	1.0	1.0
triebwerk	triebwerk	triebwerk	1	1	1.0	1.0
uhrwerk	uhrwerk	uhrwerk	1	1	1.0	1.0
windspiel	windspiel	windspiel	1	1	1.0	1.0
wortspiel	wortspiel	wortspiel	1	1	1.0	1.0
wunderwerk	wunderwerk	wunderwerk	1	1	1.0	1.0
zeughaus	zeughaus	zeughaus	1	1	1.0	1.0
ziegenbock	ziegenbock	ziegenbock	1	1	1.0	1.0
zitronensaft	zitronensaft	zitronensaft	1	1	1.0	1.0
