target_word,sentence_1_id,sentence_1,sentence_2_id,sentence_2,era_group,[Bewertung]
bergwerk,662719,"Die dritte Grundſtuͤtze iſt der Bergbau , indem die Bergwerke , ſonderlich die Eiſenbergwerke , den groͤßten Reichthum des Koͤnigreichs Schweden ausmachen ( §. 293 ) .",3652508,"Die Leitung geht von hier aus durch einen Wetterſchacht bis zu einer Tiefe von 90 Meter auf die erſte Sohle des Bergwerkes , führt eine Strecke über dieſe und geht dann durch ein Geſenk auf die zweite Sohle , von da aus auf die dritte und von dieſer zurück zum Ventilationsſchacht .",Cross-Era,3
sündenfall,5401767,"Waͤre kein Suͤndenfall , und keine Erloͤſung geſchehen , ſo waͤre dieſer Unterſchied nicht Aber der innere , auf der ewigen Zeugung und Ausgang beruhende Unterſchied , iſt nothwendig , ewig , unveraͤnderlich , und bleibet in dem Schooſe der Gottheit , wenn gleich Welt und Menſchen , Fall und Erloͤſung nicht verhanden waͤren .",521198,"Bei weiterem Umblick finden wir , daß das Widerſtreben gegen gedrängte und geſchloſſene Wohnſitze nicht den Germanen allein eigen iſt , ſondern allen mit ihnen verwandten Volksſtämmen , und zwar iſt das vorſtädtiſche Leben derſelben kein durchaus vorgeſchichtliches , ſo daß man ſich denken könnte , es ſtamme das Bild deſſelben aus einer Zeit , wo man , vom Stadtleben überſättigt , die Gründung von Städten als eine Art Sündenfall anſah , welche die Menſchen klüger und geſchickter , aber auch unreiner und unglücklicher gemacht habe :",Cross-Era,2
salzwasser,4615028,"Das Salzwasser selbst zu erreichen , war mir nur an einer Stelle möglich , wo ein Weg zwischen dem bodenlosen Schlamm zu einem kleinen Hause und Nachen an der Ostseite des Sees führt ; hier ist ein Streif weichen Sandbodens : von Phanerogamen war nur eine niedrige Portulacee mit rosenrothen Blumen und etwas fleischigen Blättern , Sesuvium L. , von Thieren nichts zu sehen , der Kescher brachte unter vielen Holzstückchen und schwarzem Schlamm nur todte Schalen einer kleinen Schnecke aus der Gattung Hydrobia hervor .",6106153,"Plötzlich ſtampfte die „ Alma “ tief in die See , ich verlor das Gleichgewicht , fiel auf das Deck nieder und ein gleichzeitig über den Bug kommender kräftiger Sprützer weichte mich gründlich in Salzwaſſer ein .",Late-Late,4
tagewerk,3397450,"Der frohe Schnitter ſammlet fruͤhe , Und fuͤhlt auch Abends keine Pein , Jhm faͤllt bey aller ſeiner Muͤhe GOTT , Friedrich und Luiſe ein ; Die koͤnnen alle Laſt verſuͤſſen , Sollt ihm ein Tagewerk verdrieſſen , Das ihn bey ſeinem Feuerheerd Durch lange Winter-Naͤchte naͤhrt ?",3678841,"Tagewerck , heißet nach dem Saͤchſiſchen Landrecht die Arbeit derjenigen Leute , welche ſie taͤglich um ihre Nahrung arbeiten muͤſſen .",Early-Early,4
ziegenbock,651402,"Die Waaren , welche von dieſem Thiere in die Handlung kommen , ſind : 1 ) die Haut , oder das Fell , ſowol von Ziegenboͤcken , als Ziegen und jungen Zicklein , von denen jene , naͤmlich die von den Ziegenboͤcken , insgemein zu ſaͤmiſchem Leder verarbeitet ; die von den Ziegen vornehmlich zum Saffian und Corduanmachen , bisweilen auch zum Pergamentmachen gebraucht , manchmal auch mit den Bockhaͤuten ſaͤmiſch gaar gemacht ; und die von den jungen Ziegen , oder Zicklein , inſonderheit von den Handſchuhmachern zu Handſchuhen , desgleichen mit den Haaren gar gemacht von den Kuͤrſchnern zuweilen zum Unterfutter unter verſchiedene Sachen , vornehmlich in Handſchuhe , gebrauchet wird .",1937130,"Eine Lauß aus Nova Zembla , ein Ziegenbock aus Meſopotamien ſind auch etwas rares .",Early-Early,4
sonnenschein,2035940,"Sonnenſchein und milder Regen , Beide bringen uns den Seegen , Aus des guͤtgen Gebers Hand : Aus des Herbſtes neblicht Trauffen , Waͤchſt hernach noch mancher Hauffen Frucht , auf dem beſaamten Land :",4067304,"Und wen nur der Frühling zum Feſte ſich lud , Der mag nun nimmermehr traurig ſein ; Doch mich hat er nicht geladen , Ich kann ja die Seele nicht baden In dem goldigen Sonnenſchein !",Cross-Era,4
hausstand,5121398,EJn Kauffmann / der einen Diener annehmen will / hat zuforderſt Acht zu geben ( 1. ) auf ſich / ſeine Handlung / und Haußſtand / ( 2. ) auf des Dieners / den er annehmen will / ſeine Perſohn / Qualitaͤten / und andere Umbſtaͤnde ; und ( 3. ) auf das Publicum ſelbſt / und etwann die Beſchaffenheit des Orts / und der Zeiten / in welchen er lebet / und ſeine Handlung établiret hat .,5405978,"Auf die Chinesenstadt rechnete man 50,000 Hausstände ; somit betrüge die Gesammtbevölkerung gegen 1,300,000 Seelen .",Cross-Era,4
feuerwerk,6068417,"Der Gouverneur und alle Anweſende bezeigten ihr Vergnuͤgen daruͤber , indem kam mein Bruder ſelbſt , und bath unſere ſaͤmmtlichen Gaͤſte , mit ihm an den Strand zu ſpazieren , um auf der See ein kleines Feuerwerck anzuͤnden zu ſehen .",6067576,"Dieſe wuſten wegen der Schwaͤrtze und des Feuerwercks alles ſo accurat auszuſagen , als wir es mit unſern Augen geſehen hatten .",Early-Early,4
stockwerk,6068077,"Nach aufgehobener Taffel ſahe ſich ein jeder nach ſeiner Ruhe-Stelle um , mich und meinen Bruder aber , welcher etwas blaß ausſahe , begleiteten der Gouverneur , deſſen Gemahlin , Toͤchter und Soͤhne biß hinauf in das Obere Stockwerck , allwo uns zwey Zimmer angewieſen wurden , welche Communication mit einander hatten .",6104435,"Mehrentheils wird das Stockwerck , ſo eine Treppe hoch , vor das bequemſte und beſte geachtet , und daher auch am beſten ausmeubliret ; Je hoͤher nun die Stockwercke ſteigen , je mehr nehmen auch die Meublen , wegen der Beſchwerlichkeit im Steigen / an Propreté und Koſtbarkeit ab , weil die Geringern immer hoͤher und hoͤher logiret werden .",Early-Early,4
trauerspiel,1215592,"» Es ist mir aufgefallen , dass die Charaktere des griechischen Trauerspiels mehr oder weniger idealische Masken und keine eigentlichen Individuen sind , wie ich sie in Shakespeare und auch in Ihren Stücken finde . «",3862515,"Sie kannten ja Robert , den Bruder von Frau Rahel Varnhagen in Karlsruhe ; hat er Ihnen nie aus dieſem bürgerlichen Trauerſpiel vorgeleſen ?",Late-Late,2
