setting	filename	compound	num_examples	requested_k	effective_k	iterations	ensemble_runs	num_clusters	largest_cluster_size	status	reason
cw_knn_k5_iter20_ens9	bergwerk.pickle	bergwerk	2167	5	5	20	9	279	49	clustered	
cw_knn_k5_iter20_ens9	bildhauer.pickle	bildhauer	1167	5	5	20	9	157	25	clustered	
cw_knn_k5_iter20_ens9	brunnenwasser.pickle	brunnenwasser	275	5	5	20	9	33	23	clustered	
cw_knn_k5_iter20_ens9	eifersucht.pickle	eifersucht	1616	5	5	20	9	193	36	clustered	
cw_knn_k5_iter20_ens9	eisenwerk.pickle	eisenwerk	1056	5	5	20	9	109	41	clustered	
cw_knn_k5_iter20_ens9	feldzug.pickle	feldzug	1970	5	5	20	9	247	32	clustered	
cw_knn_k5_iter20_ens9	feuerwerk.pickle	feuerwerk	604	5	5	20	9	75	20	clustered	
cw_knn_k5_iter20_ens9	gesichtszug.pickle	gesichtszug	509	5	5	20	9	59	24	clustered	
cw_knn_k5_iter20_ens9	grundfläche.pickle	grundfläche	678	5	5	20	9	87	19	clustered	
cw_knn_k5_iter20_ens9	hausstand.pickle	hausstand	235	5	5	20	9	36	15	clustered	
cw_knn_k5_iter20_ens9	heerführer.pickle	heerführer	460	5	5	20	9	53	24	clustered	
cw_knn_k5_iter20_ens9	kartenspiel.pickle	kartenspiel	162	5	5	20	9	21	16	clustered	
cw_knn_k5_iter20_ens9	kinderspiel.pickle	kinderspiel	240	5	5	20	9	32	17	clustered	
cw_knn_k5_iter20_ens9	kreuzzug.pickle	kreuzzug	383	5	5	20	9	44	17	clustered	
cw_knn_k5_iter20_ens9	leinöl.pickle	leinöl	133	5	5	20	9	19	15	clustered	
cw_knn_k5_iter20_ens9	mauerwerk.pickle	mauerwerk	863	5	5	20	9	92	27	clustered	
cw_knn_k5_iter20_ens9	meerwasser.pickle	meerwasser	261	5	5	20	9	32	16	clustered	
cw_knn_k5_iter20_ens9	murmeltier.pickle	murmeltier	230	5	5	20	9	32	14	clustered	
cw_knn_k5_iter20_ens9	rechtsstreit.pickle	rechtsstreit	742	5	5	20	9	95	35	clustered	
cw_knn_k5_iter20_ens9	rehbock.pickle	rehbock	147	5	5	20	9	15	30	clustered	
cw_knn_k5_iter20_ens9	ruhestand.pickle	ruhestand	928	5	5	20	9	121	31	clustered	
cw_knn_k5_iter20_ens9	salzwasser.pickle	salzwasser	711	5	5	20	9	79	26	clustered	
cw_knn_k5_iter20_ens9	schauspiel.pickle	schauspiel	3197	5	5	20	9	384	38	clustered	
cw_knn_k5_iter20_ens9	seewasser.pickle	seewasser	241	5	5	20	9	29	24	clustered	
cw_knn_k5_iter20_ens9	sonnenblume.pickle	sonnenblume	163	5	5	20	9	20	25	clustered	
cw_knn_k5_iter20_ens9	sonnenlicht.pickle	sonnenlicht	733	5	5	20	9	84	24	clustered	
cw_knn_k5_iter20_ens9	sonnenschein.pickle	sonnenschein	1773	5	5	20	9	215	32	clustered	
cw_knn_k5_iter20_ens9	sonnenstrahl.pickle	sonnenstrahl	1261	5	5	20	9	139	31	clustered	
cw_knn_k5_iter20_ens9	sonnenuhr.pickle	sonnenuhr	202	5	5	20	9	28	21	clustered	
cw_knn_k5_iter20_ens9	stockwerk.pickle	stockwerk	1200	5	5	20	9	141	42	clustered	
cw_knn_k5_iter20_ens9	streitsache.pickle	streitsache	127	5	5	20	9	14	23	clustered	
cw_knn_k5_iter20_ens9	stückwerk.pickle	stückwerk	218	5	5	20	9	29	28	clustered	
cw_knn_k5_iter20_ens9	sündenfall.pickle	sündenfall	220	5	5	20	9	25	24	clustered	
cw_knn_k5_iter20_ens9	tagewerk.pickle	tagewerk	281	5	5	20	9	36	20	clustered	
cw_knn_k5_iter20_ens9	trauerspiel.pickle	trauerspiel	1101	5	5	20	9	137	21	clustered	
cw_knn_k5_iter20_ens9	triebwerk.pickle	triebwerk	125	5	5	20	9	15	15	clustered	
cw_knn_k5_iter20_ens9	uhrwerk.pickle	uhrwerk	381	5	5	20	9	47	20	clustered	
cw_knn_k5_iter20_ens9	windspiel.pickle	windspiel	122	5	5	20	9	13	20	clustered	
cw_knn_k5_iter20_ens9	wortspiel.pickle	wortspiel	209	5	5	20	9	24	15	clustered	
cw_knn_k5_iter20_ens9	wunderwerk.pickle	wunderwerk	1063	5	5	20	9	129	34	clustered	
cw_knn_k5_iter20_ens9	zeughaus.pickle	zeughaus	414	5	5	20	9	50	38	clustered	
cw_knn_k5_iter20_ens9	ziegenbock.pickle	ziegenbock	101	5	5	20	9	14	15	clustered	
cw_knn_k5_iter20_ens9	zitronensaft.pickle	zitronensaft	120	5	5	20	9	19	13	clustered	
cw_knn_k10_iter20_ens9	bergwerk.pickle	bergwerk	2167	10	10	20	9	109	88	clustered	
cw_knn_k10_iter20_ens9	bildhauer.pickle	bildhauer	1167	10	10	20	9	74	46	clustered	
cw_knn_k10_iter20_ens9	brunnenwasser.pickle	brunnenwasser	275	10	10	20	9	20	29	clustered	
cw_knn_k10_iter20_ens9	eifersucht.pickle	eifersucht	1616	10	10	20	9	90	61	clustered	
cw_knn_k10_iter20_ens9	eisenwerk.pickle	eisenwerk	1056	10	10	20	9	53	68	clustered	
cw_knn_k10_iter20_ens9	feldzug.pickle	feldzug	1970	10	10	20	9	119	54	clustered	
cw_knn_k10_iter20_ens9	feuerwerk.pickle	feuerwerk	604	10	10	20	9	33	41	clustered	
cw_knn_k10_iter20_ens9	gesichtszug.pickle	gesichtszug	509	10	10	20	9	30	36	clustered	
cw_knn_k10_iter20_ens9	grundfläche.pickle	grundfläche	678	10	10	20	9	42	43	clustered	
cw_knn_k10_iter20_ens9	hausstand.pickle	hausstand	235	10	10	20	9	16	31	clustered	
cw_knn_k10_iter20_ens9	heerführer.pickle	heerführer	460	10	10	20	9	27	32	clustered	
cw_knn_k10_iter20_ens9	kartenspiel.pickle	kartenspiel	162	10	10	20	9	13	19	clustered	
cw_knn_k10_iter20_ens9	kinderspiel.pickle	kinderspiel	240	10	10	20	9	14	39	clustered	
cw_knn_k10_iter20_ens9	kreuzzug.pickle	kreuzzug	383	10	10	20	9	25	29	clustered	
cw_knn_k10_iter20_ens9	leinöl.pickle	leinöl	133	10	10	20	9	10	18	clustered	
cw_knn_k10_iter20_ens9	mauerwerk.pickle	mauerwerk	863	10	10	20	9	44	58	clustered	
cw_knn_k10_iter20_ens9	meerwasser.pickle	meerwasser	261	10	10	20	9	21	23	clustered	
cw_knn_k10_iter20_ens9	murmeltier.pickle	murmeltier	230	10	10	20	9	17	29	clustered	
cw_knn_k10_iter20_ens9	rechtsstreit.pickle	rechtsstreit	742	10	10	20	9	47	41	clustered	
